constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,rounds completed,total rounds
JAGATBALLAVPUR,183,ANUPAM GHOSH,Bharatiya Janata Party,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,6671,19/19,Result Declared,19,19
DOMJUR,184,TAPAS MAITY,All India Trinamool Congress,GOBINDA HAZRA,Bharatiya Janata Party,42177,22/22,Result Declared,22,22
UTTARPARA,185,DIPANJAN CHAKRABORTY,Bharatiya Janata Party,SIRSANYA BANDOPADHYAY,All India Trinamool Congress,10415,28/28,Result Declared,28,28
SREERAMPUR,186,BHASKAR BHATTACHARYA,Bharatiya Janata Party,TANMOY GHOSH,All India Trinamool Congress,8685,21/21,Result Declared,21,21
CHAMPDANI,187,DILIP SINGH,Bharatiya Janata Party,ARINDAM GUIN (BUBAI),All India Trinamool Congress,3026,26/26,Result Declared,26,26
SINGUR,188,ARUP KUMAR DAS,Bharatiya Janata Party,BECHARAM MANNA,All India Trinamool Congress,21438,22/22,Result Declared,22,22
CHANDANNAGAR,189,Deepanjan Kumar Guha,Bharatiya Janata Party,Indranil Sen,All India Trinamool Congress,13441,23/23,Result Declared,23,23
CHUNCHURA,190,SUBIR NAG,Bharatiya Janata Party,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,43435,28/28,Result Declared,28,28
BALAGARH,191,SUMANA SARKAR,Bharatiya Janata Party,RANJAN DHARA,All India Trinamool Congress,41914,13/13,Result Declared,13,13
PANDUA,192,TUSAR KUMAR MAJUMDAR,Bharatiya Janata Party,SAMIR CHAKRABORTY,All India Trinamool Congress,5228,13/13,Result Declared,13,13
SAPTAGRAM,193,SWARAJ GHOSH,Bharatiya Janata Party,BIDESH RANJAN BOSE,All India Trinamool Congress,23289,12/12,Result Declared,12,12
CHANDITALA,194,SWATI KHANDOKER,All India Trinamool Congress,DEBASISH MUKHERJEE,Bharatiya Janata Party,19663,24/24,Result Declared,24,24
JANGIPARA,195,PROSENJIT BAG,Bharatiya Janata Party,SNEHASIS CHAKRABORTY,All India Trinamool Congress,862,24/24,Result Declared,24,24
HARIPAL,196,MADHUMITA GHOSH,Bharatiya Janata Party,KARABI MANNA,All India Trinamool Congress,3488,27/27,Result Declared,27,27
DHANEKHALI,197,ASIMA PATRA,All India Trinamool Congress,BARNALI DAS,Bharatiya Janata Party,13057,14/14,Result Declared,14,14
TARAKESWAR,198,SANTU PAN,Bharatiya Janata Party,RAMENDU SINHARAY,All India Trinamool Congress,30999,23/23,Result Declared,23,23
PURSURAH,199,BIMAN GHOSH,Bharatiya Janata Party,PARTHA HAZARI,All India Trinamool Congress,53453,15/15,Result Declared,15,15
ARAMBAG,200,BAG HEMANTA,Bharatiya Janata Party,BAG MITA,All India Trinamool Congress,28959,24/24,Result Declared,24,24
GOGHAT,201,PRASANTA DIGAR,Bharatiya Janata Party,DR. NIRMAL MAJI,All India Trinamool Congress,49582,24/24,Result Declared,24,24
KHANAKUL,202,SUSANTA GHOSH,Bharatiya Janata Party,PALASH KUMAR ROY,All India Trinamool Congress,34483,19/19,Result Declared,19,19
TAMLUK,203,HARE KRISHNA BERA,Bharatiya Janata Party,DIPENDRA NARAYAN ROY,All India Trinamool Congress,34729,15/15,Result Declared,15,15
PANSKURA PURBA,204,SUBRATA MAITY(RANA),Bharatiya Janata Party,ASHIM KUMAR MAJI,All India Trinamool Congress,17903,12/12,Result Declared,12,12
